cooperative_id,province,district,subdistrict,latitude,longitude,h3,k_any_road,k_non_track,km_any_road,km_non_track,road_band,track_only,m_to_any_road,m_to_made_road,km_to_made_road
82762,JAMBI,KAB. TANJUNG JABUNG TIMUR,S a d u,-1.39663024,104.2779923,623969016385830911,,,,,> ~5 km / none found,False,16245.255873136075,16682.197052796895,16.68
89530,PAPUA TENGAH,KAB. INTAN JAYA,Biandoga,-3.49395258,136.71021086,623512056902615039,,,,,> ~5 km / none found,False,16677.7130229249,16677.7130229249,16.68
93980,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Egiam,-3.40299906,138.48604946,623511650414559231,,,,,> ~5 km / none found,False,16674.585609774378,16674.585609774378,16.67
92336,PAPUA SELATAN,KAB. MERAUKE,Tubang,-7.69138232,139.35821015,624256375331618815,,,,,> ~5 km / none found,False,16670.83788060387,16670.83788060387,16.67
88867,PAPUA TENGAH,KAB. PUNCAK JAYA,Molanikime,-3.66255309,137.71944275,623511655586562047,,,,,> ~5 km / none found,False,16667.436510140542,16667.436510140542,16.67
89612,PAPUA TENGAH,KAB. PUNCAK JAYA,Dagai,-3.36095376,137.94146221,623511640893980671,,,,,> ~5 km / none found,False,16659.255923541485,16659.255923541485,16.66
49753,BANTEN,KAB. SERANG,Tirtayasa,-5.8157379,106.2851931,623960967219412991,,,,,> ~5 km / none found,False,16659.22787980592,16659.22787980592,16.66
89245,PAPUA BARAT DAYA,KAB. SORONG SELATAN,Kokoda Utara,-1.94757413,132.59167951,623514721790689279,,,,,> ~5 km / none found,False,15664.094633667673,16656.55058080392,16.66
92671,PAPUA SELATAN,KAB. MERAUKE,Tubang,-8.15762247,139.00580107,624256355938238463,,,,,> ~5 km / none found,False,16648.684661218773,16648.684661218773,16.65
32769,KALIMANTAN TENGAH,KAB. BARITO UTARA,Gunung Purei,-1.28601687,115.5010954,623337102609055743,,,,,> ~5 km / none found,False,16184.528533180117,16647.458831080272,16.65
80632,SUMATERA UTARA,KAB. NIAS SELATAN,Tanah Masa,-0.14593047,98.42583572,623974682445709311,,,,,> ~5 km / none found,False,15019.095285302978,16646.381532523537,16.65
86756,PAPUA SELATAN,KAB. ASMAT,Joutu,-5.53832837,139.29558818,624256123409072127,,,,,> ~5 km / none found,False,16633.6967290824,16633.6967290824,16.63
72062,BENGKULU,KAB. MUKOMUKO,Pondok Suguh,-2.64923912,101.6095378,623976383163432959,,,,,> ~5 km / none found,False,16449.32067889635,16614.006015251525,16.61
88715,PAPUA,KAB. SARMI,Apawer Hulu,-2.1558604,138.44654232,623511982326972415,,,,,> ~5 km / none found,False,16612.007697460383,16612.007697460383,16.61
52418,RIAU,KAB. INDRAGIRI HULU,Rengat,-0.17606011,102.487211,623276146524094463,,,,,> ~5 km / none found,False,16611.75180199625,16611.75180199625,16.61
26676,SULAWESI TENGAH,KAB. MOROWALI,Bungku Selatan,-3.272648,122.513771,624120805054316543,,,,,> ~5 km / none found,False,11160.398255325184,16605.239988627123,16.61
89886,PAPUA BARAT DAYA,KAB. SORONG,Botain,-1.50516203,131.66386668,623514673537384447,,,,,> ~5 km / none found,False,11714.025956784104,16603.83565421794,16.6
18462,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,Anggana,-0.5717313,117.5383329,623335867738161151,,,,,> ~5 km / none found,False,12345.263888532221,16601.30641059072,16.6
59336,ACEH,KAB. ACEH SELATAN,Kluet Tengah,3.41577285,97.29416506,623281422134247423,,,,,> ~5 km / none found,False,16590.803453578184,16590.803453578184,16.59
85834,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,Dumoga Utara,0.61774389,123.7572961,623340512778977279,,,,,> ~5 km / none found,False,15629.458381408074,16580.990464871218,16.58
55191,SULAWESI SELATAN,KAB. LUWU UTARA,Masamba,-2.33169188,120.2370535,624121059568877567,,,,,> ~5 km / none found,False,16560.081216177918,16560.081216177918,16.56
24679,KALIMANTAN BARAT,KAB. SINTANG,Serawai,-0.09516097,112.5475514,623338690001960959,,,,,> ~5 km / none found,False,9201.173228692163,16550.37171921087,16.55
3345,SUMATERA SELATAN,KAB. MUSI RAWAS UTARA,Karang Jaya,-2.94739221,102.5048378,623976298917789695,,,,,> ~5 km / none found,False,16517.72194238521,16548.784449535466,16.55
85327,MALUKU UTARA,KAB. HALMAHERA SELATAN,Kasiruta Barat,-0.48711833,127.1471366,623529904572170239,,,,,> ~5 km / none found,False,16379.877284705159,16539.50819699275,16.54
87402,SUMATERA UTARA,KAB. NIAS SELATAN,Pulau-Pulau Batu Timur,0.11799291,98.69944282,623974635522064383,,,,,> ~5 km / none found,False,7030.990285090689,16538.502666732937,16.54
93351,PAPUA SELATAN,KAB. MAPPI,Minyamur,-6.46286307,138.77542817,624255981609746431,,,,,> ~5 km / none found,False,16524.036853001788,16524.036853001788,16.52
90850,PAPUA SELATAN,KAB. ASMAT,Sawa Erma,-4.82260319,138.5748379,623511827604111359,,,,,> ~5 km / none found,False,16516.721525473135,16516.721525473135,16.52
90442,PAPUA PEGUNUNGAN,KAB. NDUGA,Mebarok,-4.15289163,138.24188231,623511629718519807,,,,,> ~5 km / none found,False,13664.884179357765,16502.110514489756,16.5
