cooperative_id,province,district,km_non_track,m_to_made_road,error_m
49383,JAWA TENGAH,KAB. REMBANG,0.132,79.0880138925436,52.9119861074564
79823,NUSA TENGGARA TIMUR,KAB. MALAKA,0.132,115.84304844855262,16.156951551447378
30926,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,0.0,31.91236399778066,-31.91236399778066
3380,LAMPUNG,KAB. LAMPUNG TIMUR,0.132,63.8589337260476,68.14106627395239
69358,JAWA TENGAH,KAB. GROBOGAN,0.0,62.346614867522234,-62.346614867522234
37040,JAWA TENGAH,KAB. KEBUMEN,0.0,32.07160115979609,-32.07160115979609
53242,BANTEN,KAB. LEBAK,0.924,979.792874362842,-55.792874362841985
83145,MALUKU,KAB. BURU SELATAN,1.716,1668.0605392987125,47.939460701287544
6890,KALIMANTAN TENGAH,KAB. KAPUAS,0.132,119.40388072658928,12.596119273410721
85522,PAPUA,KAB. KEEROM,0.0,17.66224516947098,-17.66224516947098
12699,SUMATERA SELATAN,KAB. MUARA ENIM,0.396,490.5022024550503,-94.50220245505028
70732,SULAWESI TENGAH,KAB. SIGI,0.792,711.4908837082087,80.50911629179132
10565,SULAWESI SELATAN,KOTA MAKASSAR,0.0,15.557133540691627,-15.557133540691627
15672,KALIMANTAN TENGAH,KAB. GUNUNG MAS,0.66,657.3304097341771,2.669590265822876
63435,BANTEN,KAB. SERANG,0.0,4.155091138114329,-4.155091138114329
413,JAWA BARAT,KAB. SUKABUMI,0.0,36.412923354225526,-36.412923354225526
34360,SULAWESI SELATAN,KAB. ENREKANG,0.0,81.7754918838187,-81.7754918838187
44164,NUSA TENGGARA BARAT,KAB. BIMA,4.092,3750.7004933867925,341.2995066132071
67494,PAPUA BARAT,KAB. FAK FAK,0.0,5.4815055943431235,-5.4815055943431235
78438,PAPUA BARAT,KAB. TELUK BINTUNI,1.32,1159.6654070047782,160.33459299522178
15821,JAWA TENGAH,KAB. SRAGEN,0.0,32.37443691144919,-32.37443691144919
76515,KALIMANTAN SELATAN,KAB. TAPIN,0.264,182.48473397788237,81.51526602211763
54430,ACEH,KAB. ACEH TAMIANG,0.0,3.999525024871084,-3.999525024871084
21274,JAWA BARAT,KAB. CIANJUR,0.0,16.36423842104416,-16.36423842104416
24129,JAWA TIMUR,KAB. PACITAN,0.396,320.7132098348193,75.28679016518072
18392,JAWA TENGAH,KAB. MAGELANG,0.132,159.24018134948284,-27.24018134948284
25548,KALIMANTAN BARAT,KAB. BENGKAYANG,0.396,422.5542884159891,-26.554288415989106
65191,JAWA TENGAH,KAB. KLATEN,0.0,14.34274723545446,-14.34274723545446
42663,JAWA BARAT,KAB. GARUT,0.0,34.624279686075646,-34.624279686075646
84861,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,0.0,28.483510734183408,-28.483510734183408
68721,JAWA TENGAH,KAB. JEPARA,0.132,103.11347214982368,28.88652785017632
29318,RIAU,KAB. KAMPAR,1.188,1135.0263517038084,52.97364829619164
654,JAWA TIMUR,KAB. GRESIK,0.0,6.646167359934136,-6.646167359934136
82570,GORONTALO,KAB. GORONTALO UTARA,0.132,98.73933262768435,33.26066737231565
75256,JAMBI,KAB. TANJUNG JABUNG TIMUR,0.264,312.7134808853335,-48.713480885333524
43140,SUMATERA UTARA,KAB. PADANG LAWAS,0.0,3.552207567683393,-3.552207567683393
87791,PAPUA BARAT DAYA,KAB. SORONG,4.62,4673.623439525852,-53.62343952585161
70078,JAMBI,KAB. KERINCI,1.32,1168.0934456103842,151.90655438961585
67807,JAWA TENGAH,KAB. PURBALINGGA,0.132,105.18520608546606,26.814793914533936
60106,KALIMANTAN TENGAH,KAB. KOTAWARINGIN BARAT,0.132,165.80401156331155,-33.80401156331155
43504,SUMATERA UTARA,KAB. PAKPAK BHARAT,0.924,896.5175151441879,27.482484855812118
59411,SULAWESI TENGGARA,KAB. KONAWE UTARA,1.98,2010.1677595498431,-30.16775954984314
21119,JAWA TENGAH,KAB. WONOGIRI,0.132,144.28826823603495,-12.288268236034952
80485,JAMBI,KAB. BATANG HARI,0.924,1007.1262437425397,-83.12624374253971
