cooperative_id,landcover_code,landcover
69247,10,Tree cover
69357,40,Cropland
69991,50,Built-up
80589,40,Cropland
80594,40,Cropland
84334,40,Cropland
84335,40,Cropland
84392,50,Built-up
84422,40,Cropland
84900,40,Cropland
84914,40,Cropland
84921,40,Cropland
85420,50,Built-up
85421,50,Built-up
41715,10,Tree cover
46879,10,Tree cover
47144,40,Cropland
49342,20,Shrubland
51096,40,Cropland
60516,40,Cropland
61884,10,Tree cover
62023,50,Built-up
62388,40,Cropland
63154,40,Cropland
63326,10,Tree cover
66457,50,Built-up
42207,40,Cropland
52649,10,Tree cover
58629,50,Built-up
63489,50,Built-up
69762,40,Cropland
75460,40,Cropland
82734,50,Built-up
83158,10,Tree cover
83159,30,Grassland
83842,40,Cropland
84396,40,Cropland
84410,40,Cropland
84630,40,Cropland
84792,10,Tree cover
84899,50,Built-up
87345,50,Built-up
44903,50,Built-up
54020,40,Cropland
54102,40,Cropland
54103,40,Cropland
54105,40,Cropland
54109,40,Cropland
54114,40,Cropland
54125,40,Cropland
55508,40,Cropland
55988,40,Cropland
55998,40,Cropland
56032,40,Cropland
56041,50,Built-up
56071,40,Cropland
59061,50,Built-up
74524,50,Built-up
84423,40,Cropland
50504,50,Built-up
69723,10,Tree cover
70084,10,Tree cover
74635,10,Tree cover
74683,10,Tree cover
82473,10,Tree cover
82475,10,Tree cover
83157,30,Grassland
84394,10,Tree cover
84414,10,Tree cover
84885,10,Tree cover
84904,10,Tree cover
54098,40,Cropland
54554,50,Built-up
55754,10,Tree cover
56001,40,Cropland
65639,10,Tree cover
68814,40,Cropland
70406,40,Cropland
75817,40,Cropland
84631,40,Cropland
84641,30,Grassland
84810,10,Tree cover
84872,30,Grassland
84913,40,Cropland
84915,10,Tree cover
84916,40,Cropland
84922,40,Cropland
84923,10,Tree cover
85417,10,Tree cover
85419,10,Tree cover
54099,50,Built-up
54100,40,Cropland
54111,10,Tree cover
54115,20,Shrubland
65379,10,Tree cover
69111,30,Grassland
80578,10,Tree cover
84884,10,Tree cover
84905,40,Cropland
84917,50,Built-up
653,40,Cropland
77337,10,Tree cover
77363,10,Tree cover
77467,10,Tree cover
77490,40,Cropland
77527,10,Tree cover
77549,50,Built-up
77972,10,Tree cover
78080,10,Tree cover
78153,10,Tree cover
78284,10,Tree cover
78427,30,Grassland
78511,10,Tree cover
7967,50,Built-up
25669,10,Tree cover
25704,10,Tree cover
25717,10,Tree cover
25732,10,Tree cover
25746,10,Tree cover
25760,40,Cropland
28936,40,Cropland
28972,10,Tree cover
29063,10,Tree cover
10605,40,Cropland
62623,50,Built-up
63244,50,Built-up
63259,10,Tree cover
65269,40,Cropland
75429,10,Tree cover
75450,10,Tree cover
75451,40,Cropland
77055,10,Tree cover
77397,10,Tree cover
77440,10,Tree cover
77476,50,Built-up
77652,50,Built-up
27922,40,Cropland
33304,10,Tree cover
70201,40,Cropland
73008,10,Tree cover
73091,40,Cropland
73099,40,Cropland
73101,10,Tree cover
75049,10,Tree cover
75376,10,Tree cover
75383,40,Cropland
75395,10,Tree cover
75407,50,Built-up
75423,10,Tree cover
46855,10,Tree cover
46863,50,Built-up
46873,40,Cropland
47145,40,Cropland
47158,40,Cropland
47281,10,Tree cover
47564,40,Cropland
47574,50,Built-up
47629,50,Built-up
47940,10,Tree cover
48306,10,Tree cover
48809,10,Tree cover
48961,50,Built-up
50245,50,Built-up
50278,10,Tree cover
50710,10,Tree cover
52659,10,Tree cover
52677,10,Tree cover
52680,10,Tree cover
52758,10,Tree cover
52799,10,Tree cover
54373,10,Tree cover
54621,10,Tree cover
55387,10,Tree cover
55999,10,Tree cover
58693,50,Built-up
58707,10,Tree cover
58739,10,Tree cover
59974,10,Tree cover
60009,50,Built-up
60210,40,Cropland
60400,40,Cropland
60499,10,Tree cover
60523,40,Cropland
61114,10,Tree cover
61807,10,Tree cover
61840,10,Tree cover
62244,10,Tree cover
61092,40,Cropland
61123,40,Cropland
61160,50,Built-up
61189,50,Built-up
61206,40,Cropland
61808,50,Built-up
61827,50,Built-up
61875,40,Cropland
61882,10,Tree cover
61907,50,Built-up
61954,10,Tree cover
61998,30,Grassland
62413,10,Tree cover
62694,10,Tree cover
63200,10,Tree cover
63285,40,Cropland
63323,50,Built-up
63339,40,Cropland
63370,40,Cropland
63386,30,Grassland
63451,10,Tree cover
63464,50,Built-up
63577,10,Tree cover
63776,40,Cropland
64282,50,Built-up
64393,40,Cropland
65177,10,Tree cover
65228,10,Tree cover
63177,10,Tree cover
63256,10,Tree cover
63328,10,Tree cover
63382,50,Built-up
63406,10,Tree cover
63430,50,Built-up
63479,50,Built-up
63487,10,Tree cover
63562,30,Grassland
63232,10,Tree cover
63307,10,Tree cover
63329,40,Cropland
63343,10,Tree cover
63393,10,Tree cover
63431,10,Tree cover
63454,10,Tree cover
63459,10,Tree cover
63975,30,Grassland
64279,10,Tree cover
63320,10,Tree cover
63325,50,Built-up
63475,10,Tree cover
65192,10,Tree cover
65200,30,Grassland
65218,40,Cropland
65281,10,Tree cover
65310,10,Tree cover
66517,10,Tree cover
68519,10,Tree cover
65158,10,Tree cover
65168,10,Tree cover
65231,10,Tree cover
65246,10,Tree cover
65247,10,Tree cover
65288,10,Tree cover
85701,40,Cropland
86054,50,Built-up
86153,10,Tree cover
86910,50,Built-up
65182,10,Tree cover
65196,40,Cropland
65248,40,Cropland
65286,10,Tree cover
65291,10,Tree cover
65303,30,Grassland
68106,40,Cropland
68400,10,Tree cover
68819,50,Built-up
69738,10,Tree cover
67957,40,Cropland
68982,10,Tree cover
69334,40,Cropland
69381,40,Cropland
69434,40,Cropland
69986,30,Grassland
70658,10,Tree cover
70896,40,Cropland
70934,40,Cropland
70938,10,Tree cover
70959,40,Cropland
71192,50,Built-up
68194,10,Tree cover
68286,10,Tree cover
68291,10,Tree cover
68409,50,Built-up
68640,50,Built-up
68821,10,Tree cover
70302,10,Tree cover
70331,50,Built-up
70450,10,Tree cover
70940,10,Tree cover
69614,40,Cropland
70123,40,Cropland
70177,10,Tree cover
70464,10,Tree cover
71110,10,Tree cover
71119,10,Tree cover
71157,10,Tree cover
71451,10,Tree cover
71691,40,Cropland
72153,10,Tree cover
69642,40,Cropland
69648,10,Tree cover
69694,50,Built-up
70011,10,Tree cover
70643,10,Tree cover
71068,10,Tree cover
72003,10,Tree cover
72019,10,Tree cover
73392,10,Tree cover
73408,10,Tree cover
75439,40,Cropland
75445,40,Cropland
86715,10,Tree cover
72233,50,Built-up
72937,10,Tree cover
73151,40,Cropland
73411,10,Tree cover
73589,50,Built-up
73617,50,Built-up
73653,50,Built-up
73687,10,Tree cover
75359,10,Tree cover
75387,10,Tree cover
75398,10,Tree cover
75408,50,Built-up
75413,10,Tree cover
75447,10,Tree cover
76051,50,Built-up
73133,10,Tree cover
73154,10,Tree cover
73169,10,Tree cover
73611,10,Tree cover
73624,50,Built-up
73641,40,Cropland
74052,10,Tree cover
75076,10,Tree cover
75375,10,Tree cover
75394,40,Cropland
75400,40,Cropland
75412,50,Built-up
75426,10,Tree cover
75465,30,Grassland
76381,10,Tree cover
77550,40,Cropland
75069,40,Cropland
75073,10,Tree cover
75074,10,Tree cover
76904,10,Tree cover
77170,10,Tree cover
77434,10,Tree cover
77486,50,Built-up
77768,40,Cropland
77908,10,Tree cover
78059,40,Cropland
78127,10,Tree cover
78180,10,Tree cover
78489,10,Tree cover
78509,50,Built-up
78510,40,Cropland
78532,10,Tree cover
75409,40,Cropland
75411,30,Grassland
75418,40,Cropland
75425,10,Tree cover
75441,40,Cropland
75443,10,Tree cover
75446,40,Cropland
75453,10,Tree cover
75456,40,Cropland
75464,40,Cropland
76262,10,Tree cover
674,40,Cropland
763,10,Tree cover
837,10,Tree cover
926,40,Cropland
1069,50,Built-up
1255,10,Tree cover
1528,10,Tree cover
1916,50,Built-up
2088,10,Tree cover
2351,10,Tree cover
2352,40,Cropland
2353,10,Tree cover
2686,40,Cropland
2767,40,Cropland
18681,50,Built-up
21222,50,Built-up
21699,50,Built-up
21840,10,Tree cover
21892,40,Cropland
29392,40,Cropland
29473,40,Cropland
29544,40,Cropland
29670,40,Cropland
30675,50,Built-up
30698,30,Grassland
30740,30,Grassland
31264,10,Tree cover
31386,40,Cropland
31441,50,Built-up
751,50,Built-up
994,40,Cropland
3177,40,Cropland
3482,40,Cropland
3500,50,Built-up
4886,50,Built-up
5143,40,Cropland
5177,40,Cropland
6233,50,Built-up
7003,10,Tree cover
19543,40,Cropland
28878,50,Built-up
28909,40,Cropland
28916,40,Cropland
28947,50,Built-up
28979,40,Cropland
28990,50,Built-up
29240,40,Cropland
31087,50,Built-up
31097,50,Built-up
31106,50,Built-up
31116,50,Built-up
31118,40,Cropland
31125,50,Built-up
31131,30,Grassland
31143,40,Cropland
31171,50,Built-up
32412,40,Cropland
757,10,Tree cover
2935,10,Tree cover
3446,40,Cropland
3567,10,Tree cover
3742,40,Cropland
3792,40,Cropland
3967,50,Built-up
4585,40,Cropland
4621,40,Cropland
4656,10,Tree cover
4666,40,Cropland
4690,10,Tree cover
4695,10,Tree cover
4712,10,Tree cover
4742,10,Tree cover
4786,10,Tree cover
5013,40,Cropland
5107,10,Tree cover
5130,50,Built-up
5175,10,Tree cover
5214,10,Tree cover
12085,40,Cropland
12591,40,Cropland
43790,50,Built-up
49606,50,Built-up
764,40,Cropland
1343,40,Cropland
1782,10,Tree cover
3383,40,Cropland
3437,30,Grassland
3502,10,Tree cover
4574,40,Cropland
5146,10,Tree cover
5160,40,Cropland
5216,10,Tree cover
6709,10,Tree cover
985,40,Cropland
2224,50,Built-up
3072,40,Cropland
3791,40,Cropland
4598,10,Tree cover
4825,10,Tree cover
10071,30,Grassland
35391,10,Tree cover
35422,10,Tree cover
35526,10,Tree cover
1226,40,Cropland
3456,40,Cropland
3461,30,Grassland
3541,40,Cropland
3547,10,Tree cover
4417,10,Tree cover
5108,10,Tree cover
13210,40,Cropland
13230,10,Tree cover
13322,50,Built-up
13506,50,Built-up
13585,10,Tree cover
15443,40,Cropland
33046,40,Cropland
1233,40,Cropland
2779,10,Tree cover
4893,10,Tree cover
5178,50,Built-up
8366,40,Cropland
8384,10,Tree cover
9192,10,Tree cover
9201,30,Grassland
9209,10,Tree cover
10026,10,Tree cover
10261,10,Tree cover
16092,10,Tree cover
1470,50,Built-up
1945,40,Cropland
1958,40,Cropland
1963,30,Grassland
2036,30,Grassland
2052,40,Cropland
2071,40,Cropland
2206,10,Tree cover
2911,10,Tree cover
2957,10,Tree cover
3054,40,Cropland
3149,10,Tree cover
3159,50,Built-up
3324,50,Built-up
3433,40,Cropland
3640,40,Cropland
4042,40,Cropland
1481,60,Bare / sparse
1482,40,Cropland
1501,50,Built-up
1505,10,Tree cover
1533,50,Built-up
1549,40,Cropland
1551,50,Built-up
1562,30,Grassland
1579,40,Cropland
1623,10,Tree cover
1706,10,Tree cover
1742,50,Built-up
1753,30,Grassland
1754,10,Tree cover
1855,40,Cropland
1878,40,Cropland
1884,10,Tree cover
1902,10,Tree cover
1903,40,Cropland
1925,10,Tree cover
1947,10,Tree cover
2002,40,Cropland
2005,10,Tree cover
2007,40,Cropland
2008,40,Cropland
3019,50,Built-up
1577,10,Tree cover
2784,10,Tree cover
2823,10,Tree cover
3073,10,Tree cover
3190,10,Tree cover
32916,40,Cropland
32927,10,Tree cover
32964,10,Tree cover
33165,10,Tree cover
35408,10,Tree cover
1672,10,Tree cover
1786,40,Cropland
1834,10,Tree cover
1847,40,Cropland
1850,10,Tree cover
1861,40,Cropland
1872,40,Cropland
1873,50,Built-up
1886,40,Cropland
1891,40,Cropland
1920,50,Built-up
2079,10,Tree cover
2244,50,Built-up
2416,10,Tree cover
3317,40,Cropland
1913,50,Built-up
2214,50,Built-up
2414,30,Grassland
2687,10,Tree cover
3505,40,Cropland
3628,10,Tree cover
4048,30,Grassland
5106,10,Tree cover
5252,30,Grassland
5516,40,Cropland
12567,40,Cropland
12650,40,Cropland
12910,30,Grassland
28105,10,Tree cover
28564,10,Tree cover
33203,10,Tree cover
33247,50,Built-up
33926,50,Built-up
2708,50,Built-up
4147,10,Tree cover
4609,40,Cropland
4681,50,Built-up
5083,10,Tree cover
5271,40,Cropland
43686,50,Built-up
50095,10,Tree cover
50140,30,Grassland
50420,50,Built-up
50828,50,Built-up
52643,40,Cropland
52656,50,Built-up
52662,10,Tree cover
52686,10,Tree cover
52744,50,Built-up
54506,50,Built-up
55049,50,Built-up
2729,40,Cropland
2776,10,Tree cover
2794,10,Tree cover
3080,40,Cropland
3099,10,Tree cover
3368,50,Built-up
3468,10,Tree cover
3472,40,Cropland
3543,40,Cropland
3559,10,Tree cover
4549,50,Built-up
4687,10,Tree cover
5501,40,Cropland
7090,10,Tree cover
29852,50,Built-up
33089,50,Built-up
33096,40,Cropland
41771,10,Tree cover
44339,10,Tree cover
57550,10,Tree cover
3362,40,Cropland
3780,40,Cropland
4755,40,Cropland
5120,40,Cropland
5322,50,Built-up
5368,10,Tree cover
6212,40,Cropland
6230,40,Cropland
6301,10,Tree cover
6319,40,Cropland
7117,40,Cropland
8365,40,Cropland
12971,40,Cropland
13893,40,Cropland
26963,30,Grassland
27818,50,Built-up
38834,40,Cropland
5084,10,Tree cover
32835,10,Tree cover
32868,50,Built-up
32917,40,Cropland
32991,10,Tree cover
32995,10,Tree cover
33053,10,Tree cover
33075,30,Grassland
33095,50,Built-up
33105,50,Built-up
33135,40,Cropland
33158,10,Tree cover
33198,10,Tree cover
33202,50,Built-up
33219,40,Cropland
33225,10,Tree cover
33240,10,Tree cover
33251,10,Tree cover
33254,10,Tree cover
33257,50,Built-up
33274,50,Built-up
34838,40,Cropland
35359,40,Cropland
35370,40,Cropland
37567,10,Tree cover
768,40,Cropland
2975,10,Tree cover
5727,10,Tree cover
6029,10,Tree cover
6039,10,Tree cover
6048,10,Tree cover
6050,50,Built-up
6052,40,Cropland
8595,10,Tree cover
9029,10,Tree cover
10769,40,Cropland
19697,50,Built-up
19782,50,Built-up
23025,40,Cropland
28308,10,Tree cover
29034,10,Tree cover
32228,40,Cropland
49532,40,Cropland
862,50,Built-up
8676,10,Tree cover
13578,10,Tree cover
15645,50,Built-up
25712,50,Built-up
27973,40,Cropland
32227,40,Cropland
32786,10,Tree cover
32846,50,Built-up
33028,50,Built-up
34806,40,Cropland
38829,40,Cropland
39534,40,Cropland
39811,40,Cropland
61117,40,Cropland
62035,10,Tree cover
65191,10,Tree cover
65220,40,Cropland
1080,40,Cropland
1115,40,Cropland
1773,40,Cropland
1779,10,Tree cover
1785,10,Tree cover
4694,30,Grassland
7074,40,Cropland
32549,40,Cropland
32709,40,Cropland
32836,50,Built-up
41707,40,Cropland
43715,50,Built-up
58031,40,Cropland
58605,50,Built-up
59139,40,Cropland
65245,40,Cropland
3727,40,Cropland
4310,10,Tree cover
5744,50,Built-up
6746,50,Built-up
8589,40,Cropland
15730,40,Cropland
19819,10,Tree cover
25649,40,Cropland
47603,10,Tree cover
52676,10,Tree cover
54618,40,Cropland
62564,40,Cropland
62688,40,Cropland
3824,10,Tree cover
3849,50,Built-up
4262,50,Built-up
4315,40,Cropland
5723,40,Cropland
6895,40,Cropland
8642,40,Cropland
9049,30,Grassland
14128,40,Cropland
15437,10,Tree cover
19653,40,Cropland
19694,50,Built-up
19864,40,Cropland
19865,40,Cropland
27336,10,Tree cover
32976,40,Cropland
36879,10,Tree cover
39485,50,Built-up
40242,10,Tree cover
5137,10,Tree cover
5394,10,Tree cover
5485,10,Tree cover
5564,10,Tree cover
6260,30,Grassland
6361,40,Cropland
6379,10,Tree cover
8335,10,Tree cover
9155,40,Cropland
9868,10,Tree cover
10840,10,Tree cover
12738,40,Cropland
13297,10,Tree cover
13762,50,Built-up
13889,50,Built-up
13924,30,Grassland
14014,40,Cropland
14103,10,Tree cover
16157,50,Built-up
5875,50,Built-up
6006,50,Built-up
6055,50,Built-up
7095,40,Cropland
7110,50,Built-up
7168,50,Built-up
7237,10,Tree cover
7300,50,Built-up
9530,50,Built-up
9534,40,Cropland
23308,50,Built-up
32750,50,Built-up
6748,50,Built-up
8955,50,Built-up
8989,50,Built-up
10647,50,Built-up
15522,50,Built-up
17871,40,Cropland
18646,50,Built-up
21534,50,Built-up
27873,50,Built-up
32852,50,Built-up
33206,50,Built-up
33929,40,Cropland
36597,50,Built-up
43695,50,Built-up
47683,50,Built-up
61125,50,Built-up
63405,50,Built-up
65186,50,Built-up
6787,30,Grassland
11777,50,Built-up
15824,50,Built-up
32970,50,Built-up
36813,50,Built-up
38419,50,Built-up
40410,50,Built-up
65001,50,Built-up
65266,50,Built-up
8979,10,Tree cover
9008,40,Cropland
9813,50,Built-up
16034,40,Cropland
28815,50,Built-up
28849,50,Built-up
28971,50,Built-up
29019,50,Built-up
29044,50,Built-up
38808,50,Built-up
39120,50,Built-up
39136,50,Built-up
39209,40,Cropland
50859,50,Built-up
13244,50,Built-up
13279,50,Built-up
33267,10,Tree cover
36785,50,Built-up
39524,50,Built-up
39982,10,Tree cover
41743,10,Tree cover
45510,50,Built-up
45537,50,Built-up
48016,10,Tree cover
51760,10,Tree cover
65029,50,Built-up
86209,10,Tree cover
13386,50,Built-up
15718,10,Tree cover
19818,10,Tree cover
23023,50,Built-up
25807,50,Built-up
25869,10,Tree cover
27393,10,Tree cover
28202,50,Built-up
29632,40,Cropland
36627,40,Cropland
39424,10,Tree cover
41680,40,Cropland
50690,50,Built-up
52771,10,Tree cover
54867,10,Tree cover
57504,40,Cropland
13435,10,Tree cover
23185,10,Tree cover
28219,40,Cropland
