cluster_id,size,province,n_districts,centroid_lat,centroid_lon,median_m_to_nearest_other,n_linked,sum_transaction_value,n_reporting
888cf02181fffff,3,BENGKULU,1,-3.805589653333333,102.26979846666666,481.21485389218526,3,0.0,0
88650c3413fffff,3,SUMATERA UTARA,1,3.315405903333333,99.15704775,468.29595561690417,3,0.0,0
88650c84dbfffff,3,SUMATERA UTARA,1,2.9803923,99.62670882666667,492.9765125012227,1,0.0,0
88650c95a9fffff,3,SUMATERA UTARA,1,2.95955859,99.80139082666666,390.3794466909542,0,0.0,0
888cf021b9fffff,3,BENGKULU,1,-3.7963010633333334,102.25677266666666,409.2428022001153,3,0.0,0
888cf021bdfffff,3,BENGKULU,1,-3.7911723100000003,102.2617591,335.38602066891843,2,0.0,0
888cf05409fffff,3,SUMATERA SELATAN,1,-3.6988629866666667,102.92770780000001,325.70774509288145,3,0.0,0
8895008157fffff,3,SULAWESI SELATAN,1,-5.123792173333333,119.42935891666667,220.0082447840626,2,0.0,0
889509a2d9fffff,3,SULAWESI TENGGARA,1,-5.522959656666667,123.76725053333332,252.8387779233076,2,0.0,0
88950d4c43fffff,3,SULAWESI TENGGARA,1,-5.458761193333333,122.59791613333334,359.9409704605562,1,0.0,0
88950d4c55fffff,3,SULAWESI TENGGARA,1,-5.46129595,122.60675906666665,411.8589928374712,2,0.0,0
88650d4e15fffff,3,SUMATERA UTARA,1,3.57739233,98.68335450333332,334.0031511811419,3,0.0,0
88650d4e35fffff,3,SUMATERA UTARA,1,3.5998959866666667,98.69042463333334,452.18984607580506,2,0.0,0
88650d4e37fffff,3,SUMATERA UTARA,1,3.60258701,98.68238542333334,478.28607781025414,3,0.0,0
88650d4e39fffff,3,SUMATERA UTARA,1,3.5852791566666666,98.68758803666667,617.2322395360007,3,0.0,0
88650d4e51fffff,3,SUMATERA UTARA,1,3.55295929,98.69435907999998,358.9256433656621,3,0.0,0
888cd54211fffff,3,JAMBI,1,-2.0202948166666665,101.39521923666666,356.5045642931355,0,0.0,0
888cd54213fffff,3,JAMBI,1,-2.0227535766666667,101.38518692000001,443.40612566836097,2,0.0,0
888cd5421dfffff,3,JAMBI,1,-2.0222725633333334,101.40451363333334,370.02549421862966,3,0.0,0
888cd54257fffff,3,JAMBI,2,-2.0319111166666666,101.40703382333334,203.43663229602885,3,0.0,0
888cd542c9fffff,3,JAMBI,1,-2.0361313766666664,101.37643106666667,138.18375246635136,3,0.0,0
888cd5509dfffff,3,JAMBI,1,-2.0765267233333335,101.43070523333334,287.0869094480209,1,0.0,0
888cd552b7fffff,3,JAMBI,2,-2.10037204,101.44834861333334,493.2265453824206,3,0.0,0
888cd55505fffff,3,JAMBI,1,-2.057569066666667,101.38914519999999,378.0329228080789,3,0.0,0
888cd5550dfffff,3,JAMBI,1,-2.066184556666667,101.39144533333332,369.1313171658732,3,0.0,0
888cd55525fffff,3,JAMBI,1,-2.0361520766666668,101.39422669999999,227.02028470340184,3,0.0,0
88650d2c81fffff,3,ACEH,1,3.3092183466666665,97.91797695333334,433.2632653849742,3,0.0,0
888cf0ced7fffff,3,SUMATERA SELATAN,1,-3.868067423333333,102.99073573333332,562.6607697607485,3,0.0,0
888cf4a929fffff,3,BENGKULU,1,-4.791347906666666,103.34765586666667,397.0138186518968,3,0.0,0
888cf624c1fffff,3,SUMATERA SELATAN,1,-3.6194469333333337,103.19587476666668,296.89504070156585,3,0.0,0
888cf6c993fffff,3,SUMATERA SELATAN,1,-3.4230866666666664,104.2389351,209.35601651002574,3,0.0,0
888d801097fffff,3,JAWA TIMUR,1,-6.990338173333334,112.5621296,249.7896439528672,3,0.0,0
888d803241fffff,3,JAWA TIMUR,1,-7.043782963333332,112.28278842333333,377.9968817220254,3,0.0,0
888d808f5dfffff,3,JAWA TIMUR,1,-7.160418320000001,112.65142800000001,448.4882435710893,3,0.0,0
88650ba999fffff,3,ACEH,1,4.95041036,97.77447362,651.7035339058222,1,0.0,0
888cadb9d9fffff,3,LAMPUNG,1,-5.412926233333334,105.24828129999999,326.47062777839943,3,0.0,0
888cadb9ddfffff,3,LAMPUNG,1,-5.406366393333333,105.25198126666668,414.2953925604912,3,0.0,0
888cd38f3dfffff,3,SUMATERA BARAT,1,-0.6793809999999999,100.7829289,695.4646375228551,1,0.0,0
888cd3b403fffff,3,SUMATERA BARAT,1,-0.9289466733333334,100.35611290000001,436.73051622389596,3,0.0,0
888cd3b45dfffff,3,SUMATERA BARAT,1,-0.9554314533333333,100.36504663333334,409.0847192326138,3,0.0,0
888cd5401bfffff,3,JAMBI,1,-1.9731173233333335,101.36207313333334,293.0693845594944,2,0.0,0
888cd540c9fffff,3,JAMBI,1,-1.9801990033333332,101.3498168,444.0530167619729,2,0.0,0
88650d4e05fffff,3,SUMATERA UTARA,1,3.5850221500000004,98.70659287666666,279.2931994224915,3,0.0,0
887390d9d9fffff,3,MALUKU UTARA,1,0.7992793800000001,127.37945481999999,406.2413138234592,3,0.0,0
888c100e5dfffff,3,JAWA BARAT,1,-6.604491286666668,106.80017034666668,360.59402867397563,3,0.0,0
888c147957fffff,3,JAWA BARAT,1,-6.93795934,107.64060146666667,372.7876751410431,3,0.0,0
888c14d959fffff,3,JAWA BARAT,1,-7.327063760000001,108.22129393333334,612.8846969043868,3,0.0,0
888c161a11fffff,3,JAWA BARAT,1,-6.354263266666667,108.10549322000001,116.61004991082467,3,0.0,0
888c81a817fffff,3,KEPULAUAN BANGKA BELITUNG,1,-2.1310276233333334,106.11124326666668,455.1123189171766,1,0.0,0
888c92b29bfffff,3,KALIMANTAN BARAT,1,1.3573757966666669,109.3039258,386.15665080496495,0,0.0,0
888cab6205fffff,3,SUMATERA SELATAN,2,-2.9765218,104.77666786666667,246.7550528901913,2,1480000.0,1
888cab6219fffff,3,SUMATERA SELATAN,1,-2.994875886666667,104.75424190000001,290.4894769249708,2,0.0,0
888cadb835fffff,3,LAMPUNG,1,-5.411345183333334,105.26637664666667,248.9733543879574,2,0.0,0
88650d4e5dfffff,3,SUMATERA UTARA,1,3.5520499933333336,98.70471212666666,121.19733025693668,3,87388000.0,1
88650d4ee7fffff,3,SUMATERA UTARA,1,3.5957874766666666,98.65862941333334,375.07449292206826,3,0.0,0
88650d7831fffff,3,SUMATERA UTARA,1,3.609171866666667,98.49418213333333,297.92005164569605,3,0.0,0
88650d78edfffff,3,SUMATERA UTARA,1,3.6025856933333333,98.48300443000001,490.64092420188155,3,0.0,0
88650dc8bbfffff,3,SUMATERA UTARA,1,3.2941932433333334,98.94167916666667,463.994106874875,3,0.0,0
888cadb9c3fffff,3,LAMPUNG,1,-5.398867683333333,105.25685153333332,474.451250569597,1,0.0,0
888d8529b5fffff,3,JAWA TIMUR,1,-7.6728338,111.83596033333333,108.7237973009966,3,0.0,0
888d854829fffff,3,JAWA TIMUR,1,-7.41370234,112.50826493,16.266754253356392,3,45884000.0,2
