cooperative_id,cooperative,province,district,subdistrict,latitude,longitude,in_cemetery,cemetery_name,cemetery_osm_id,cemetery_depth_m,dist_cemetery_m,in_farmland,farmland_name,farmland_osm_id,farmland_depth_m,dist_farmland_m,in_marketplace,marketplace_name,marketplace_osm_id,marketplace_depth_m,dist_marketplace_m,dist_village_m,dist_worship_m,farmland_polygon_km2,farmland_polygon_villages,farmland_polygon_coarse,dist_village_core_m,outside_village_core,land_status,land_surveyor,own_cell_pop,pop_within_1_4km,km_non_track,km_any_road,roadside,imagery_url,near_people,deep_in_field,landcover_code,landcover,confirmed_agricultural
49704,KOPERASI DESA MERAH PUTIH MATA AIR KECAMATAN KUPANG TENGAH,NUSA TENGGARA TIMUR,KAB. KUPANG,Kupang Tengah,-10.12638215,123.6858621,False,,-1,,2639.0,True,,167254466,335.5,0.0,False,,-1,,6221.0,832.4,1507.0,2.005,0,False,832.4,True,Terverifikasi,TNI,90.0,18173.0,0.0,0.0,True,"https://www.google.com/maps/@-10.12638215,123.6858621,250m/data=!3m1!1e3",True,True,40,Cropland,True
3233,KOPERASI DESA MERAH PUTIH SIDOKERTO,JAWA TENGAH,KAB. PATI,Pati,-6.72977515,111.0312819,False,,-1,,751.2,True,,1500649069,334.1,0.0,False,,-1,,1820.2,743.4,857.1,4.579,0,False,743.4,False,Terverifikasi,KOPERASI,493.0,49468.0,0.264,0.132,True,"https://www.google.com/maps/@-6.72977515,111.0312819,250m/data=!3m1!1e3",True,True,40,Cropland,True
51998,KOPERASI DESA MERAH PUTIH SUMBERBRANTAS KECAMATAN BUMIAJI KOTA BATU,JAWA TIMUR,KOTA BATU,Bumiaji,-7.75433384,112.5436967,False,,-1,,2341.6,True,,631182843,333.6,0.0,False,,-1,,13148.7,2024.0,1880.0,3.029,0,False,1880.0,True,Terverifikasi,KOPERASI,209.0,7972.0,1.188,0.132,True,"https://www.google.com/maps/@-7.75433384,112.5436967,250m/data=!3m1!1e3",True,True,40,Cropland,True
10706,KOPERASI DESA MERAH PUTIH PULEREJO,JAWA TIMUR,KAB. MADIUN,Pilangkenceng,-7.49371934,111.6181713,False,,-1,,5781.0,True,,1115411140,331.3,0.0,False,,-1,,1505.4,1690.6,1192.5,19.787,0,False,1192.5,True,Terverifikasi,Agrinas,95.0,26324.0,0.264,0.264,False,"https://www.google.com/maps/@-7.49371934,111.6181713,250m/data=!3m1!1e3",True,True,40,Cropland,True
17898,KOPERASI KELURAHAN MERAH PUTIH MANGKANG WETAN KECAMATAN TUGU,JAWA TENGAH,KOTA SEMARANG,Tugu,-6.96183966,110.3153338,False,,-1,,1484.0,True,,590924095,329.0,0.0,False,,-1,,1800.4,496.6,451.1,1.355,0,False,451.1,False,Sedang Diverifikasi,BUSINESS ASSISTANCE,55.0,56980.0,0.396,0.396,False,"https://www.google.com/maps/@-6.96183966,110.3153338,250m/data=!3m1!1e3",True,True,40,Cropland,True
51928,KOPERASI DESA MERAH PUTIH REJOSARI KECAMATAN GRABAG KABUPATEN PURWOREJO,JAWA TENGAH,KAB. PURWOREJO,Grabag,-7.81482308,109.8799302,False,,-1,,1613.6,True,,1415614699,327.1,0.0,False,,-1,,3203.0,660.2,1210.7,3.563,0,False,660.2,False,Tidak Ada Lahan,,61.0,22096.0,0.396,0.396,False,"https://www.google.com/maps/@-7.81482308,109.8799302,250m/data=!3m1!1e3",True,True,40,Cropland,True
1074,KOPERASI DESA MERAH PUTIH KERTOSONO KECAMATAN SIDAYU,JAWA TIMUR,KAB. GRESIK,Sidayu,-6.98956061,112.5222097,False,,-1,,5236.7,True,,1499791918,326.9,0.0,False,,-1,,4789.6,507.8,2748.6,20.917,1,False,507.8,False,Terverifikasi,Agrinas,800.0,33356.0,0.264,0.132,True,"https://www.google.com/maps/@-6.98956061,112.5222097,250m/data=!3m1!1e3",True,True,90,Herbaceous wetland,False
12749,KOPERASI DESA MERAH PUTIH PINGKUK,JAWA TIMUR,KAB. MAGETAN,Bendo,-7.66410956,111.4405631,False,,-1,,2286.7,True,,670304073,323.7,0.0,False,,-1,,3026.1,731.4,1979.7,5.684,0,False,731.4,False,Terverifikasi,KOPERASI,411.0,37155.0,0.264,0.264,False,"https://www.google.com/maps/@-7.66410956,111.4405631,250m/data=!3m1!1e3",True,True,40,Cropland,True
73883,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG MANYANG KECAMATAN MEURAH MULIA,ACEH,KAB. ACEH UTARA,Meurah Mulia,5.08774071,97.22060165,False,,-1,,5779.2,True,,5247593,323.1,0.0,False,,-1,,5601.7,456.6,2967.2,31.447,1,False,456.6,False,Tidak Ada Lahan,,608.0,27110.0,0.264,0.264,False,"https://www.google.com/maps/@5.08774071,97.22060165,250m/data=!3m1!1e3",True,True,40,Cropland,True
9399,KOPERASI DESA MERAH PUTIH LIMBANG MULIA,SUMATERA SELATAN,KAB. BANYUASIN,Sembawa,-2.79496039,104.5369028,False,,-1,,24370.5,True,,708943575,322.7,0.0,False,,-1,,20745.5,913.8,888.3,5.226,0,False,888.3,True,Terverifikasi,Agrinas,0.0,572.0,1.056,1.056,False,"https://www.google.com/maps/@-2.79496039,104.5369028,250m/data=!3m1!1e3",True,True,10,Tree cover,False
6023,KOPERASI DESA MERAH PUTIH SUKADANA KECAMATAN BAYAN,NUSA TENGGARA BARAT,KAB. LOMBOK UTARA,Bayan,-8.23488455,116.3853168,False,,-1,,4713.4,True,,301605403,318.3,0.0,False,,-1,,2522.0,2180.5,1623.9,5.041,0,False,1623.9,True,Sedang Diverifikasi,BUSINESS ASSISTANCE,62.0,4294.0,0.396,0.264,False,"https://www.google.com/maps/@-8.23488455,116.3853168,250m/data=!3m1!1e3",True,True,30,Grassland,False
52840,KOPERASI DESA MERAH PUTIH WONOREJO KECAMATAN KAJEN,JAWA TENGAH,KAB. PEKALONGAN,Kajen,-7.03739723,109.542665,False,,-1,,2965.3,True,,712248652,314.6,0.0,False,,-1,,18246.6,512.8,4847.5,6.402,0,False,512.8,False,Terverifikasi,Agrinas,1303.0,33745.0,0.396,0.396,False,"https://www.google.com/maps/@-7.03739723,109.542665,250m/data=!3m1!1e3",True,True,40,Cropland,True
